alpha,R_squre,Adj_rsquare,MSE_train,MSE_test,intercept,cylinders,displacement,weight,acceleration,model year,horsepower,origin
1,0.491222005,0.539652344,14.35782315,16.26419171,23.40415335,-0.805913345,-0.982758379,-1.61718663,0,1.43790429,-1.099795773,0.72776485
2,-0.052167836,0.2411706,18.60676801,21.95805433,23.40415335,-0.776974792,-0.911947079,-1.205444313,0,0.951442303,-0.935817751,0.523749574
3,-1.049188285,-0.223429394,23.403602,28.04247167,23.40415335,-0.677870237,-0.789076204,-0.967346812,0,0.65145698,-0.78071699,0.374275407
4,-2.843967848,-0.948661807,28.36306379,34.14446129,23.40415335,-0.572154943,-0.66787254,-0.790385852,0,0.442095763,-0.64485312,0.25545865
5,-6.10972112,-2.101347044,33.26739294,40.06368346,23.40415335,-0.472619951,-0.557232425,-0.647672901,0,0.285258435,-0.526798357,0.157200014
6,-12.28397745,-4.000301506,38.00173797,45.70257134,23.40415335,-0.382019175,-0.458146001,-0.528148369,0,0.162199616,-0.423882891,0.074001343
7,-24.79959851,-7.32091977,42.50942321,51.01979733,23.40415335,-0.300403245,-0.36977428,-0.425815566,0,0.062439997,-0.333609261,0.002384286
8,-49.90109114,-13.25841943,46.36737742,55.53025863,23.40415335,-0.221835979,-0.28489166,-0.331633445,0,0,-0.249923974,0
9,-105.2246517,-24.62958539,49.6202143,59.24563166,23.40415335,-0.14963671,-0.207289408,-0.24785571,0,0,-0.173130971,0
10,-267.1883762,-51.51971607,52.64722204,62.68151042,23.40415335,-0.085312175,-0.138468186,-0.174183496,0,0,-0.105266044,0
11,-1061.662057,-152.866375,55.46242144,65.86073328,23.40415335,-0.027684997,-0.077031585,-0.108848835,0,0,-0.044849038,0
12,-16950.93176,-1691.973376,57.78397962,68.4610884,23.40415335,0,-0.017888411,-0.046742833,0,0,0,0
13,-1.37E+30,-1.16E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
14,-1.37E+30,-2.16E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
15,-1.37E+30,-3.02E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
16,-1.37E+30,-3.77E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
17,-1.37E+30,-4.44E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
18,-1.37E+30,-5.03E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
19,-1.37E+30,-5.56E+29,58.59368882,69.3652233,23.40415335,0,0,0,0,0,0,0
